GPA,SAT_Score,Extracurricular,Volunteer_Hours,Recommendation_Score,Interview_Score,Intended_Major,Legacy,First_Gen,Gender,Ethnicity,International,Income_Level,High_School_Rating,Admitted
2.56,1176.0,1,39.0,4.9,1.0,Health,0,1,Other,Hispanic,0,High,9.7,No
2.55,1221.0,1,63.0,3.2,5.4,Business,0,1,Male,White,0,Middle,4.7,Yes
3.84,1200.0,0,30.0,1.1,6.3,STEM,0,1,Other,Hispanic,0,Middle,7.7,No
3.29,1080.0,0,48.0,3.9,4.9,STEM,0,1,Other,White,0,Low,4.6,No
3.5,1083.0,0,29.0,1.6,8.1,Arts,1,0,Female,Asian,0,Low,1.7,No
3.14,1318.0,1,69.0,3.2,6.0,Health,1,0,Other,Other,0,Low,7.3,Yes
3.26,1215.0,0,57.0,3.8,9.2,Arts,0,1,Other,Other,0,Middle,4.2,Yes
2.55,1198.0,0,53.0,2.6,6.6,Health,0,0,Female,Asian,1,High,2.9,No
3.79,1282.0,0,20.0,3.3,9.8,STEM,0,0,Other,Other,0,Middle,3.0,No
3.0,1189.0,1,41.0,2.2,1.4,STEM,0,1,Male,Other,0,High,4.9,No
3.61,1215.0,0,34.0,1.2,6.0,STEM,0,0,Female,White,0,Middle,5.1,No
3.04,1236.0,1,30.0,4.9,5.7,SocialSci,0,0,Male,White,1,High,3.1,No
2.23,1306.0,0,50.0,3.8,7.8,Business,0,1,Male,White,0,Middle,2.9,Yes
2.22,1340.0,0,17.0,4.6,6.4,Health,0,1,Male,Black,0,Middle,7.0,No
2.93,1129.0,1,35.0,2.1,3.7,STEM,0,0,Other,Black,0,Low,2.9,No
2.86,1324.0,0,45.0,4.0,4.7,Health,0,0,Female,Other,0,Middle,8.0,No
3.83,1168.0,1,52.0,2.0,8.3,Health,1,0,Male,Hispanic,0,Low,6.9,No
2.26,1274.0,1,96.0,2.9,6.7,Health,1,1,Female,White,0,Middle,4.7,Yes
3.37,1142.0,0,56.0,4.1,5.7,Business,0,0,Female,White,0,High,6.2,Yes
3.84,1081.0,0,71.0,4.9,1.5,Arts,0,1,Male,Other,0,Low,2.5,Yes
2.82,1306.0,1,66.0,1.7,1.4,STEM,0,1,Female,White,0,Middle,5.8,Yes
3.77,1390.0,0,39.0,4.0,8.7,Arts,1,0,Female,White,0,High,8.7,Yes
2.29,1177.0,0,69.0,1.9,3.8,SocialSci,0,0,Female,Black,0,Low,2.4,No
2.21,1328.0,0,54.0,3.8,5.6,STEM,0,0,Female,White,0,Low,8.7,Yes
2.47,1155.0,1,49.0,4.1,6.0,Arts,0,0,Other,White,0,Low,5.6,Yes
3.04,1240.0,0,54.0,4.4,8.8,Health,1,0,Female,Black,0,Middle,6.7,Yes
3.29,1210.0,1,74.0,4.5,7.9,Business,0,1,Female,Hispanic,0,Middle,9.2,Yes
3.54,1192.0,1,45.0,2.4,8.0,SocialSci,0,0,Female,Other,0,Low,3.2,Yes
3.53,1190.0,0,52.0,1.6,4.4,Health,0,0,Female,Asian,0,Low,2.6,No
2.22,1097.0,1,92.0,2.6,1.7,Arts,0,0,Other,White,0,High,2.6,Yes
3.75,1328.0,1,30.0,1.8,4.5,Business,1,0,Male,Hispanic,0,Low,7.5,No
2.22,1136.0,0,64.0,3.1,2.9,STEM,1,0,Female,Hispanic,0,Low,9.2,Yes
3.8,1334.0,0,48.0,3.7,5.2,Arts,0,0,Female,Black,0,Low,3.7,Yes
3.92,1144.0,1,28.0,3.4,3.1,Business,0,0,Other,Black,0,High,2.5,No
3.17,1151.0,1,56.0,2.0,2.6,Health,0,0,Male,White,0,High,1.5,No
3.39,1274.0,0,37.0,2.0,2.6,SocialSci,0,0,Female,Other,0,High,2.2,No
2.74,1312.0,0,18.0,2.7,1.3,STEM,0,0,Female,Asian,0,High,3.2,No
3.1,1345.0,0,43.0,4.9,7.1,Arts,0,0,Male,Hispanic,0,Middle,7.4,Yes
3.66,1061.0,1,51.0,1.3,3.5,Business,0,1,Male,White,0,Middle,9.0,No
2.32,1132.0,0,60.0,3.0,7.5,Health,0,0,Other,White,0,High,2.5,No
3.0,1366.0,0,73.0,4.5,5.0,SocialSci,0,0,Female,Hispanic,0,Middle,4.5,Yes
2.82,1105.0,0,54.0,2.4,1.3,SocialSci,0,0,Male,Asian,0,Middle,3.0,No
3.73,1223.0,1,28.0,2.3,3.5,SocialSci,0,1,Female,Black,0,High,4.2,No
2.26,1145.0,1,52.0,1.1,8.7,STEM,0,0,Female,White,0,Low,9.6,No
3.78,1141.0,0,50.0,4.8,2.5,SocialSci,0,1,Female,Hispanic,1,Low,2.9,No
2.5,951.0,0,43.0,4.8,1.5,Business,0,0,Female,White,0,Low,6.2,No
3.21,1283.0,0,63.0,1.6,1.9,Arts,0,0,Female,Asian,0,Low,6.2,No
2.76,1054.0,0,79.0,2.4,9.2,Arts,0,0,Male,Asian,0,High,1.9,Yes
3.87,1207.0,0,69.0,4.4,6.5,SocialSci,0,0,Male,Asian,0,Middle,1.2,Yes
2.4,1089.0,1,62.0,5.0,3.7,Health,0,0,Other,Hispanic,0,Low,3.6,Yes
3.01,1253.0,1,78.0,2.6,7.0,Arts,1,0,Other,Asian,0,Low,1.6,Yes
2.46,1211.0,1,28.0,2.9,5.6,Health,0,1,Female,Other,0,High,1.3,No
3.6,1011.0,0,42.0,3.6,8.0,SocialSci,0,0,Other,White,0,Middle,4.4,No
2.54,1104.0,1,24.0,2.2,5.7,SocialSci,0,0,Male,White,0,Middle,9.9,No
3.91,1089.0,0,43.0,1.8,3.4,Health,0,0,Male,White,0,High,1.4,No
3.85,1219.0,0,24.0,4.6,4.3,Business,0,0,Other,Hispanic,0,Middle,1.3,No
2.95,1064.0,1,15.0,4.6,5.9,Arts,1,0,Female,Asian,0,Middle,6.3,No
2.03,1202.0,0,38.0,2.8,3.4,Health,0,0,Female,White,0,Middle,6.9,No
3.93,1249.0,0,32.0,4.0,8.4,Business,0,1,Other,Black,0,Low,5.2,No
3.37,1183.0,0,51.0,4.2,8.7,STEM,1,0,Other,Hispanic,0,Middle,3.6,Yes
2.98,1281.0,1,28.0,1.5,6.0,STEM,0,0,Female,Other,0,High,7.1,No
3.21,991.0,1,54.0,4.1,8.4,Business,0,1,Male,Asian,0,High,8.4,Yes
2.22,1100.0,0,55.0,4.6,9.1,SocialSci,0,0,Female,Hispanic,0,Low,6.4,Yes
2.32,1277.0,1,74.0,3.0,4.4,Health,0,0,Female,Other,1,Low,1.7,Yes
3.28,1345.0,1,33.0,4.9,5.0,STEM,0,0,Other,Hispanic,0,Middle,3.5,Yes
2.1,1089.0,0,57.0,1.5,5.4,Arts,0,0,Female,Hispanic,0,Low,6.4,No
3.4,1397.0,1,30.0,3.1,5.0,STEM,0,0,Other,Other,0,Middle,2.6,No
3.84,1342.0,1,65.0,4.0,7.3,Health,0,0,Other,Other,0,High,9.1,Yes
3.42,1297.0,1,45.0,4.3,4.4,Health,0,0,Male,Other,0,Middle,2.8,Yes
3.12,1275.0,0,31.0,3.1,9.2,STEM,0,1,Male,White,0,High,4.7,Yes
3.59,1162.0,1,57.0,2.9,2.0,Business,1,0,Other,White,0,Middle,1.4,Yes
3.5,1151.0,1,9.0,1.0,7.0,Health,1,0,Other,Asian,0,Middle,6.1,No
3.18,1373.0,1,29.0,1.5,9.5,Arts,1,0,Female,Other,0,High,8.2,Yes
2.39,1256.0,0,45.0,1.9,8.5,Arts,1,0,Male,White,0,Low,6.1,No
2.02,1294.0,1,50.0,2.8,9.7,Arts,0,0,Male,Other,0,High,3.4,Yes
2.91,1342.0,0,63.0,2.6,5.1,STEM,0,0,Other,Asian,0,Middle,3.0,Yes
2.48,1162.0,1,68.0,1.6,6.5,Arts,0,0,Male,Hispanic,0,Middle,6.9,Yes
2.45,1154.0,1,26.0,3.9,8.9,STEM,1,0,Male,Asian,0,High,4.4,No
3.01,1187.0,1,58.0,2.5,2.0,Health,0,0,Other,Black,0,Middle,3.0,No
2.75,1255.0,0,79.0,3.8,1.1,SocialSci,1,0,Other,Other,0,Low,2.3,Yes
3.01,1162.0,1,43.0,3.2,5.9,Arts,0,0,Female,Asian,0,Low,1.4,No
2.54,1143.0,1,50.0,3.3,9.1,Arts,0,1,Female,Other,0,Middle,5.5,Yes
3.22,1313.0,0,23.0,4.2,3.5,Arts,0,0,Female,White,0,High,9.0,No
3.24,1084.0,1,72.0,2.4,2.0,Arts,0,0,Female,Other,0,Middle,7.0,Yes
2.42,1134.0,1,54.0,3.4,3.8,Business,0,1,Other,Hispanic,0,High,9.4,Yes
3.13,1209.0,0,50.0,1.9,5.3,Health,1,1,Other,Hispanic,0,Low,4.0,No
2.89,1430.0,1,53.0,3.8,1.7,STEM,0,0,Male,Hispanic,0,Low,7.7,No
3.94,1214.0,0,67.0,4.0,1.9,SocialSci,0,0,Female,Black,0,Low,3.7,Yes
3.44,1106.0,0,73.0,1.4,7.9,Health,0,1,Male,Asian,0,Low,6.0,Yes
2.36,1018.0,1,82.0,2.1,6.2,STEM,0,0,Other,Black,0,High,1.6,Yes
3.76,1028.0,1,30.0,3.8,8.6,SocialSci,0,1,Other,White,0,Low,4.2,No
2.95,1254.0,1,94.0,4.7,8.9,SocialSci,0,1,Male,Black,0,High,9.2,Yes
3.69,1150.0,1,37.0,3.4,8.6,SocialSci,0,0,Other,White,0,Low,4.1,Yes
3.66,1112.0,1,89.0,1.2,5.6,Arts,1,0,Other,Other,0,Low,8.5,Yes
2.03,1159.0,0,51.0,3.9,7.0,Arts,0,1,Female,White,0,Low,5.5,No
2.47,1136.0,1,30.0,4.0,2.0,Arts,0,1,Female,Black,0,Middle,2.7,No
3.82,1033.0,0,52.0,3.9,5.9,Arts,0,0,Female,Hispanic,0,Middle,9.5,No
3.54,1255.0,1,53.0,4.6,9.9,Health,0,0,Male,Black,0,Low,5.2,Yes
2.27,1221.0,1,45.0,3.8,2.9,Health,0,0,Male,White,0,High,8.9,No
2.42,1337.0,1,48.0,2.3,3.4,Business,0,1,Other,Hispanic,0,High,5.6,No
3.24,1267.0,0,48.0,4.3,9.3,Business,1,0,Other,White,1,High,8.4,Yes
2.56,1062.0,1,52.0,4.9,6.5,SocialSci,1,0,Female,Asian,0,Middle,4.6,No
2.41,1098.0,0,22.0,3.8,3.4,STEM,0,1,Female,Asian,0,Middle,3.2,No
3.97,1304.0,0,52.0,1.4,4.4,Business,0,0,Other,Other,0,High,7.6,No
2.92,1233.0,0,85.0,3.5,2.9,Health,0,0,Female,Asian,0,High,1.6,Yes
3.04,1226.0,0,63.0,1.1,4.3,Health,1,0,Other,White,0,High,7.7,Yes
3.3,1001.0,0,44.0,1.7,9.9,SocialSci,0,0,Male,Black,0,High,6.2,Yes
2.15,1181.0,1,58.0,4.2,3.9,Arts,1,0,Female,White,0,High,6.1,Yes
2.79,1301.0,0,72.0,1.4,6.2,Health,0,1,Other,White,0,Middle,9.5,Yes
3.81,1050.0,0,-9.0,2.4,10.0,STEM,0,0,Female,Hispanic,0,High,4.0,No
3.89,1285.0,0,22.0,4.0,3.2,SocialSci,0,1,Female,White,0,Middle,2.6,No
2.99,1224.0,0,5.0,2.5,3.2,Arts,0,0,Male,Asian,0,Low,3.3,No
3.78,1018.0,0,32.0,1.1,2.5,SocialSci,0,1,Male,Black,0,Low,1.0,No
3.0,1216.0,0,27.0,3.7,8.9,Business,0,0,Female,Asian,0,Middle,1.4,No
3.97,1123.0,0,51.0,1.6,4.2,STEM,0,0,Other,Hispanic,0,Low,9.9,Yes
3.57,1145.0,1,77.0,3.9,8.6,Business,0,0,Female,Hispanic,0,Middle,9.2,Yes
3.66,1239.0,0,24.0,3.1,1.9,Arts,0,0,Other,Black,0,Middle,8.4,No
2.37,1093.0,1,68.0,1.8,5.1,SocialSci,0,0,Male,Asian,0,Middle,4.2,Yes
2.01,1220.0,0,30.0,1.2,4.7,Health,0,1,Male,Black,0,High,5.2,No
3.01,1163.0,0,54.0,1.2,4.4,STEM,0,0,Female,Asian,0,High,5.5,No
3.97,1090.0,0,101.0,4.1,1.8,SocialSci,0,0,Female,Other,0,Low,4.8,Yes
3.93,1072.0,0,22.0,3.2,2.4,Arts,0,0,Female,Asian,0,High,10.0,No
3.23,1262.0,1,80.0,2.0,5.6,SocialSci,0,0,Female,Black,0,Low,7.0,Yes
2.37,1192.0,0,79.0,4.8,9.1,Arts,0,0,Other,White,0,Low,2.0,Yes
2.02,1247.0,1,45.0,2.1,8.7,SocialSci,0,1,Female,Asian,0,Low,5.5,No
2.99,1348.0,1,69.0,4.1,7.1,SocialSci,0,0,Other,Asian,0,High,9.1,Yes
2.6,1252.0,0,49.0,2.0,1.4,Health,1,0,Male,Asian,0,Low,3.2,No
2.67,1300.0,1,48.0,4.1,9.8,STEM,0,0,Female,Asian,0,Middle,6.7,Yes
3.67,1242.0,1,53.0,3.8,5.6,Health,0,1,Other,Asian,0,Low,5.7,Yes
2.18,1070.0,0,69.0,4.9,7.0,Business,0,1,Other,Black,0,High,7.6,Yes
2.18,1181.0,1,56.0,4.0,3.2,Arts,1,0,Other,Hispanic,0,High,8.0,No
2.89,1030.0,1,66.0,1.7,3.5,Business,0,0,Female,Other,0,Middle,3.8,No
2.83,1120.0,1,64.0,2.9,3.4,SocialSci,0,1,Other,Black,0,Low,2.4,No
2.13,1301.0,1,25.0,2.9,7.4,SocialSci,0,0,Female,Other,0,High,2.0,No
3.09,1254.0,1,50.0,2.0,4.3,STEM,0,0,Female,Black,0,Low,1.7,No
2.86,1202.0,1,61.0,3.2,1.4,STEM,0,0,Other,Asian,0,Middle,1.2,No
3.99,1311.0,1,51.0,2.4,7.5,STEM,0,0,Female,Black,0,High,6.6,Yes
2.13,1293.0,1,49.0,3.3,8.8,SocialSci,1,0,Female,Asian,0,Low,5.4,Yes
2.23,1133.0,1,52.0,4.2,8.9,SocialSci,0,0,Other,White,0,High,9.0,Yes
2.32,1271.0,0,69.0,1.8,1.4,Arts,0,1,Female,White,0,Middle,3.3,No
2.65,1024.0,1,8.0,2.1,3.7,STEM,1,1,Male,Other,0,Middle,1.7,No
3.33,1153.0,0,17.0,4.1,1.5,Business,0,1,Male,Black,0,High,4.1,No
3.93,1231.0,0,21.0,2.2,5.6,Business,0,0,Other,Other,0,Middle,4.2,No
3.82,1163.0,0,55.0,3.6,5.3,STEM,1,0,Male,Black,0,High,9.6,No
2.88,1273.0,0,53.0,3.2,5.9,SocialSci,0,0,Female,Other,1,Middle,2.7,Yes
2.14,1241.0,0,78.0,3.1,6.4,STEM,0,0,Female,Hispanic,0,Low,8.4,Yes
3.29,1228.0,1,47.0,1.8,7.1,Health,0,1,Male,White,0,High,7.7,No
2.84,1296.0,0,32.0,2.0,7.6,Health,0,1,Female,White,0,High,3.8,No
2.05,1187.0,1,44.0,2.8,6.9,SocialSci,0,1,Male,Other,0,High,9.0,No
3.63,1353.0,0,77.0,2.7,9.5,Business,0,1,Male,Other,0,Low,3.6,Yes
3.06,1289.0,1,29.0,3.2,4.8,SocialSci,0,0,Female,White,0,Low,4.5,No
2.88,1333.0,1,60.0,4.0,1.2,SocialSci,1,1,Male,Black,0,High,7.3,No
3.45,1276.0,0,34.0,3.7,10.0,Health,0,1,Other,Asian,0,High,9.8,Yes
3.72,1015.0,1,55.0,3.0,1.7,Arts,1,0,Male,Hispanic,0,Middle,10.0,No
3.86,1247.0,1,62.0,1.9,8.1,Arts,1,0,Female,Other,0,Low,4.8,Yes
2.66,1226.0,0,67.0,1.8,6.1,Health,0,1,Other,White,0,High,7.4,Yes
2.37,1219.0,0,56.0,2.0,1.8,Business,1,0,Female,Asian,0,Low,5.6,No
2.66,1156.0,1,77.0,3.7,9.4,Business,0,0,Female,Other,0,High,1.9,Yes
3.95,1425.0,1,26.0,2.4,9.3,Arts,1,0,Female,Hispanic,0,Middle,3.7,Yes
2.2,1349.0,0,41.0,4.1,4.2,Health,0,1,Other,Black,0,Low,7.2,No
3.9,1149.0,0,51.0,3.8,5.0,Business,0,1,Female,Asian,0,Middle,5.5,No
3.24,1049.0,1,20.0,4.7,2.8,Health,0,0,Female,Asian,0,High,4.3,No
2.02,1060.0,0,53.0,1.0,8.1,STEM,0,1,Male,Asian,0,Low,2.5,No
3.72,1313.0,0,49.0,3.3,2.7,SocialSci,0,1,Female,Asian,1,Low,5.2,Yes
3.36,1112.0,1,78.0,3.6,7.6,STEM,0,0,Female,Asian,0,Middle,8.4,Yes
2.29,1265.0,1,41.0,3.1,5.5,Business,0,0,Female,White,0,Middle,9.4,No
2.68,1184.0,0,60.0,4.7,3.7,STEM,0,0,Female,Other,0,High,9.8,Yes
3.75,1264.0,1,19.0,3.9,7.6,STEM,0,0,Male,Asian,0,High,1.3,No
3.46,1202.0,1,94.0,2.3,1.1,Health,0,0,Other,Black,0,Low,2.7,Yes
2.64,1164.0,1,19.0,3.0,3.2,Arts,0,0,Other,White,0,Low,6.5,No
3.59,1302.0,0,9.0,2.4,3.6,SocialSci,0,1,Male,White,0,Middle,7.8,No
2.51,1281.0,0,36.0,2.6,9.8,STEM,0,0,Other,Hispanic,0,Low,3.1,No
3.1,1236.0,1,55.0,4.6,6.0,Arts,0,0,Other,White,0,Middle,1.4,Yes
3.87,1255.0,1,54.0,4.3,3.3,SocialSci,0,1,Female,White,0,Middle,4.3,Yes
2.87,1182.0,0,48.0,1.8,4.7,STEM,0,1,Female,Black,0,Middle,8.9,No
3.11,1106.0,1,55.0,3.1,9.6,SocialSci,0,0,Male,Hispanic,0,Middle,7.0,Yes
3.55,1248.0,0,23.0,2.8,9.1,Business,0,0,Other,Asian,0,High,8.1,No
2.41,1228.0,1,71.0,2.7,2.8,STEM,1,1,Other,White,0,Low,5.3,Yes
2.9,1086.0,0,92.0,1.9,4.4,STEM,0,0,Other,White,0,Middle,8.4,Yes
3.84,1254.0,0,22.0,4.7,7.5,STEM,0,0,Other,Hispanic,0,Middle,10.0,No
3.3,1259.0,0,77.0,2.7,6.7,STEM,0,0,Other,Hispanic,0,High,3.3,Yes
3.4,1142.0,0,37.0,4.7,3.5,Health,0,0,Male,White,1,Middle,3.6,No
3.92,1322.0,1,99.0,3.3,5.6,SocialSci,1,0,Other,Other,0,Middle,5.8,Yes
3.18,1224.0,1,20.0,2.2,2.4,Health,1,1,Other,Black,0,Low,1.8,No
3.74,1072.0,1,42.0,2.2,2.0,STEM,1,0,Male,Black,0,High,4.0,No
3.98,1215.0,0,74.0,4.9,4.4,Business,1,1,Male,Other,0,Low,1.5,Yes
3.35,1304.0,0,64.0,5.0,8.3,Business,0,0,Male,White,0,High,5.0,Yes
3.37,1232.0,1,61.0,3.7,4.2,Arts,1,0,Male,Hispanic,1,Middle,6.0,Yes
2.36,1129.0,0,30.0,2.6,5.8,Business,0,1,Male,Hispanic,0,Middle,9.8,No
2.93,1199.0,1,25.0,1.1,9.6,SocialSci,0,0,Other,Asian,0,High,2.5,No
3.48,1217.0,0,38.0,1.9,2.8,Arts,0,0,Other,Other,0,Middle,6.7,No
2.69,1106.0,1,70.0,1.1,5.7,SocialSci,0,0,Male,White,0,High,2.1,Yes
2.23,915.0,0,63.0,4.4,2.6,Arts,1,1,Male,Other,0,Middle,8.8,No
2.04,1448.0,0,44.0,4.0,4.8,SocialSci,0,0,Female,Asian,0,High,2.5,No
3.34,1214.0,0,70.0,2.1,6.0,Business,0,0,Other,Hispanic,0,Low,9.7,Yes
2.07,1237.0,0,76.0,4.9,8.0,STEM,0,0,Male,Asian,1,Low,9.8,Yes
2.98,1149.0,1,36.0,2.9,1.6,STEM,1,0,Other,Hispanic,0,Middle,3.3,No
3.77,1201.0,1,35.0,3.1,5.3,SocialSci,0,0,Female,Other,0,Low,8.0,No
3.65,1334.0,1,44.0,3.1,7.0,Health,0,0,Other,Hispanic,0,High,9.0,No
3.44,1249.0,0,29.0,4.1,6.9,Arts,0,0,Female,Hispanic,0,Low,9.6,No
3.72,1071.0,0,10.0,2.0,4.5,Business,0,0,Other,Asian,1,Middle,9.5,No
3.5,1395.0,1,30.0,4.2,8.2,Business,0,1,Female,Asian,0,Middle,1.3,No
2.04,1194.0,1,67.0,2.8,9.0,STEM,0,0,Male,Black,0,Low,2.7,Yes
2.94,1161.0,0,39.0,4.8,6.8,Health,1,0,Female,Other,0,Low,2.3,No
2.03,1163.0,0,58.0,2.4,7.9,Health,1,0,Male,White,0,Middle,5.0,No
3.11,1151.0,1,36.0,2.3,2.4,STEM,0,0,Female,White,0,Low,6.5,No
2.47,1178.0,0,63.0,4.9,9.2,Business,0,0,Male,White,0,High,1.7,Yes
2.88,1314.0,0,53.0,1.6,8.3,Arts,0,1,Other,Hispanic,0,High,1.3,Yes
2.41,1234.0,0,76.0,5.0,5.9,Business,0,0,Other,White,1,Middle,5.8,Yes
3.64,1270.0,0,82.0,4.5,7.6,STEM,1,0,Other,Other,0,Middle,1.4,Yes
2.37,1250.0,0,56.0,2.1,5.6,Arts,0,1,Male,Black,0,Low,2.7,Yes
2.65,1406.0,0,74.0,4.7,4.3,Business,0,1,Male,Asian,0,High,3.3,Yes
2.03,1100.0,1,21.0,2.8,4.8,SocialSci,0,0,Female,Other,0,Middle,5.5,No
2.62,1238.0,1,38.0,3.6,7.9,Business,0,0,Female,White,0,Low,8.3,No
2.05,1305.0,1,58.0,1.6,8.3,STEM,0,0,Female,White,0,High,5.0,Yes
2.9,1216.0,1,34.0,2.1,1.1,Arts,0,1,Female,Hispanic,0,High,8.3,No
2.05,1119.0,0,47.0,2.6,9.9,SocialSci,0,0,Female,Asian,0,High,3.5,No
2.78,1144.0,0,36.0,1.6,6.0,Arts,0,0,Other,Black,0,Middle,1.4,No
3.21,1123.0,1,58.0,1.9,1.7,Arts,0,1,Female,Hispanic,0,High,4.8,No
3.82,1248.0,0,55.0,4.0,1.4,Health,1,0,Other,Asian,0,High,4.7,Yes
3.11,1047.0,0,25.0,3.3,1.4,Business,0,0,Female,Black,0,Low,3.0,No
3.03,1319.0,1,37.0,4.5,9.2,Arts,1,0,Other,Hispanic,1,Middle,6.1,Yes
2.09,1279.0,1,96.0,4.8,6.4,Arts,0,0,Other,White,0,Middle,9.4,Yes
2.75,1053.0,0,49.0,3.8,6.0,Health,0,0,Female,Black,0,High,9.8,No
2.79,1045.0,1,53.0,3.1,4.4,Health,0,0,Female,Black,0,High,2.5,Yes
2.65,1449.0,0,70.0,3.3,1.8,Arts,0,0,Female,Asian,0,High,8.3,Yes
3.78,1238.0,0,71.0,3.4,7.5,Arts,0,0,Other,Black,1,Low,9.4,Yes
2.79,1247.0,1,69.0,1.1,8.9,SocialSci,0,1,Female,Other,0,Middle,5.3,Yes
2.42,1437.0,0,41.0,4.0,9.7,Health,0,0,Male,White,0,High,4.8,Yes
3.57,1080.0,1,57.0,4.5,9.2,Business,0,0,Other,Other,0,Middle,6.4,Yes
3.63,1093.0,1,54.0,1.5,5.9,Business,0,0,Male,Other,0,Low,1.8,No
2.69,1163.0,1,80.0,2.3,3.0,Business,0,0,Female,White,0,High,9.6,Yes
3.64,1165.0,1,50.0,3.8,6.4,Business,0,0,Other,White,0,Low,8.1,Yes
3.41,1257.0,0,49.0,3.9,1.5,Arts,0,1,Female,White,1,Low,8.0,Yes
2.22,1290.0,0,51.0,4.2,6.8,SocialSci,0,0,Male,Asian,0,Middle,3.8,Yes
2.74,1441.0,1,50.0,2.5,8.3,Health,0,0,Female,Black,1,Low,7.4,Yes
3.7,1282.0,1,45.0,1.4,3.9,Health,1,1,Other,Asian,0,Middle,7.9,No
2.75,1218.0,0,42.0,4.0,3.3,Business,0,0,Female,Other,0,Low,2.7,No
3.73,1128.0,1,59.0,4.1,1.1,STEM,0,0,Female,White,0,High,4.5,No
2.89,1439.0,1,40.0,4.4,5.0,SocialSci,0,0,Female,White,0,Middle,2.5,Yes
3.13,1273.0,1,77.0,3.1,9.2,Health,0,0,Female,Black,0,Low,7.9,Yes
2.78,1041.0,0,21.0,2.9,3.4,Business,0,0,Male,Asian,0,Low,7.4,No
3.23,1182.0,0,48.0,4.0,9.9,Arts,1,0,Other,Asian,0,Low,1.5,Yes
3.05,1294.0,1,44.0,1.1,3.7,Arts,0,1,Other,Asian,0,Low,6.2,No
3.69,1131.0,1,58.0,3.3,7.8,Arts,0,0,Other,Hispanic,0,Middle,3.0,Yes
3.93,1375.0,1,39.0,2.9,1.8,Health,0,0,Other,Asian,0,Middle,5.3,No
2.58,1164.0,1,62.0,1.3,3.3,Arts,0,1,Male,White,0,Middle,2.7,Yes
2.31,1134.0,0,64.0,1.5,1.6,STEM,0,0,Other,Other,0,High,8.1,Yes
2.66,1234.0,1,7.0,2.7,1.6,Business,0,0,Male,Other,0,Low,2.6,No
3.42,1077.0,0,86.0,3.9,5.1,STEM,1,0,Other,White,0,Low,3.7,Yes
2.42,1307.0,0,28.0,1.4,2.9,Arts,0,0,Female,Other,0,High,3.8,No
2.64,1227.0,1,49.0,4.9,6.2,Business,0,0,Female,Other,0,High,8.8,Yes
3.87,1279.0,1,61.0,1.4,9.8,Business,0,0,Female,Asian,0,Middle,9.6,Yes
3.51,1240.0,1,85.0,3.0,2.3,Business,0,1,Other,Hispanic,0,High,2.6,Yes
3.91,1213.0,1,93.0,1.6,4.9,Arts,1,0,Female,Asian,0,High,9.7,Yes
2.17,1352.0,0,57.0,3.4,3.2,Health,1,1,Other,Hispanic,0,Middle,10.0,Yes
2.97,1172.0,1,18.0,3.9,1.1,Health,0,0,Other,Asian,0,High,5.6,No
3.81,1290.0,0,12.0,2.4,1.7,STEM,0,0,Male,Black,0,High,7.9,No
2.88,1240.0,1,5.0,1.7,3.4,Arts,0,0,Female,Other,0,Middle,6.7,No
3.38,1225.0,1,51.0,1.8,3.7,Business,0,0,Other,Asian,0,Low,1.3,No
2.34,1185.0,0,40.0,1.1,1.4,STEM,1,0,Male,Hispanic,0,High,4.0,No
2.49,1104.0,1,16.0,1.7,3.9,SocialSci,1,0,Other,Asian,0,Low,8.9,No
2.85,1238.0,0,69.0,4.3,2.6,STEM,1,0,Female,Hispanic,0,Middle,6.1,No
2.63,1089.0,1,81.0,2.9,5.4,SocialSci,0,1,Female,Black,0,Low,9.7,Yes
3.29,1023.0,0,80.0,2.3,6.0,Health,1,1,Other,Black,0,Middle,3.8,Yes
3.65,1239.0,1,79.0,1.0,1.4,Business,1,0,Male,White,0,Low,8.2,Yes
2.72,1053.0,0,-4.0,3.7,6.4,SocialSci,0,0,Female,White,0,High,1.5,No
3.53,1351.0,0,73.0,4.7,8.6,Arts,0,0,Male,Hispanic,0,Low,6.7,Yes
2.56,1139.0,0,37.0,3.8,2.7,Business,0,1,Other,Hispanic,1,Middle,8.7,No
2.81,1214.0,0,76.0,4.6,5.1,Business,0,0,Female,Asian,0,High,6.1,Yes
2.07,1142.0,1,43.0,4.4,2.3,STEM,0,0,Other,Other,0,High,2.6,No
2.29,1221.0,1,34.0,4.9,7.2,SocialSci,0,1,Other,Asian,0,Low,4.8,No
2.22,1279.0,1,45.0,1.2,4.3,SocialSci,0,0,Male,White,0,Low,8.2,No
3.15,1300.0,0,64.0,2.3,9.5,STEM,0,1,Male,Black,0,High,3.6,Yes
3.26,1150.0,1,58.0,4.1,1.8,STEM,0,0,Other,White,0,Middle,4.0,Yes
2.11,1139.0,1,63.0,3.4,4.0,STEM,0,1,Other,Other,0,Middle,1.5,Yes
3.12,921.0,0,22.0,1.8,1.3,SocialSci,0,0,Female,Other,0,Low,2.3,No
3.51,1348.0,0,46.0,1.7,4.2,Business,0,0,Male,White,0,High,5.5,No
3.01,1151.0,1,58.0,1.0,2.6,Business,0,0,Other,Other,0,Middle,7.8,No
2.92,1222.0,1,71.0,1.1,5.5,Arts,1,0,Female,White,0,High,5.4,Yes
3.27,1300.0,0,93.0,4.6,5.6,Business,0,1,Male,Black,0,Middle,7.6,Yes
